ProductName,Category,Price,Rating,NumReviews,StockQuantity,Discount,Sales,Order_date,City
Board Game,Toys & Games,242.38,2.4,2343,16,0.21,60,2-29-2024,Queens
Board Game,Toys & Games,235.24,1.3,3569,228,0,1458,03-02-2024,Milwaukee
Board Game,Toys & Games,60.52,2.3,4090,816,0.07,329,4-16-2024,Denver
Puzzle,Toys & Games,265.44,1.3,3663,215,0.38,660,3-23-2024,Cape Coral
Puzzle,Toys & Games,364.81,3.5,3726,570,0.49,1900,5-17-2024,Tampa
Puzzle,Toys & Games,31.64,3.4,400,918,0.28,1109,10-06-2023,Dayton
Puzzle,Toys & Games,26.63,3.8,4232,882,0.46,1521,08-02-2023,Atlanta
Puzzle,Toys & Games,399.72,4,2419,934,0.23,1466,03-01-2024,Mission Viejo
Action Figure,Toys & Games,328.58,2.5,2667,187,0.24,130,8-24-2023,Harrisburg
Puzzle,Toys & Games,176.54,3.9,4459,38,0.16,496,06-08-2024,Harrisburg
Action Figure,Toys & Games,334.21,4,4111,492,0.31,893,08-06-2023,Riverside
Puzzle,Toys & Games,436.35,1.1,4854,780,0.26,1439,03-08-2024,Boston
Puzzle,Toys & Games,44.31,1,4124,957,0.04,317,10-11-2023,Milwaukee
Toy Car,Toys & Games,317.48,4.5,1262,376,0.38,920,6-19-2023,El Paso
Toy Car,Toys & Games,371.42,2,2050,428,0.18,1693,7-24-2023,Mesa
Board Game,Toys & Games,124.47,1.2,704,948,0.49,584,08-12-2023,Baltimore
Action Figure,Toys & Games,343.03,1.9,2041,804,0.39,938,11-27-2023,Raleigh
Puzzle,Toys & Games,440.77,4.8,10,61,0.31,1176,11-26-2023,Nashville
Toy Car,Toys & Games,41.84,2.6,884,242,0.26,1353,2-26-2024,Tulsa
Board Game,Toys & Games,198.2,1.1,2553,258,0.41,1540,9-25-2023,Akron
Board Game,Toys & Games,484.86,4.5,3170,19,0.5,1596,12-17-2023,Houston
Board Game,Toys & Games,351.05,1.6,4255,738,0.11,1143,3-15-2024,New Orleans
Action Figure,Toys & Games,448.51,4.4,1290,616,0.2,634,5-14-2024,Albuquerque
Action Figure,Toys & Games,31.74,4.4,4265,520,0.16,1560,9-25-2023,Miami
Puzzle,Toys & Games,52.62,2.6,974,37,0.13,1924,12-19-2023,Miami
Board Game,Toys & Games,270.98,4.8,1711,972,0.45,972,3-23-2024,Jacksonville
Board Game,Toys & Games,252.62,2.9,2396,114,0.41,1591,05-03-2024,Buffalo
Board Game,Toys & Games,276.45,4.5,1312,261,0.26,335,12-27-2023,Boise
Toy Car,Toys & Games,426.79,4.5,1704,780,0.42,1368,12-14-2023,San Francisco
Board Game,Toys & Games,61.86,3.8,4795,6,0.44,556,08-03-2023,Charlotte
Action Figure,Toys & Games,24.33,4.3,2719,362,0.11,1574,3-22-2024,Virginia Beach
Toy Car,Toys & Games,282.53,4,1547,294,0.1,1548,4-27-2024,Providence
Puzzle,Toys & Games,490.78,3.5,4795,447,0.27,674,7-22-2023,Ogden
Puzzle,Toys & Games,382.9,3.2,1247,993,0.17,571,7-13-2023,Allentown
Board Game,Toys & Games,379.31,4.2,1887,483,0.03,730,12-03-2023,New Haven
Action Figure,Toys & Games,387.78,3.8,885,704,0.03,1143,11-15-2023,Albany
Board Game,Toys & Games,495.17,3.7,4811,675,0.32,947,06-05-2024,Detroit
Action Figure,Toys & Games,20.84,2.3,3999,946,0.13,1561,10-30-2023,Albany
Action Figure,Toys & Games,472.71,1.4,38,270,0.4,156,3-29-2024,Albuquerque
Toy Car,Toys & Games,421.57,4.1,3155,21,0.07,1730,07-11-2023,Cincinnati
Fish Oil,Vitamins and supplements,84.02,2.7,4116,302,0.21,1978,3-20-2024,Spokane
Fish Oil,Vitamins and supplements,382.45,2.8,4665,891,0.36,1185,01-01-2024,El Paso
Protein Powder,Vitamins and supplements,435.38,3.9,1809,270,0.24,1562,04-01-2024,Columbus
Protein Powder,Vitamins and supplements,100.91,4.5,3380,519,0.39,1709,4-23-2024,New York
Protein Powder,Vitamins and supplements,18.75,4.2,692,535,0.46,898,4-27-2024,Cleveland
Vitamin D,Vitamins and supplements,245.95,1.5,3344,893,0.34,1763,06-03-2024,McAllen
Fish Oil,Vitamins and supplements,120.51,1.6,116,385,0.4,394,04-09-2024,Knoxville
Multivitamin,Vitamins and supplements,83.29,2.9,2013,319,0.2,1518,03-09-2024,Spokane
Fish Oil,Vitamins and supplements,152.91,3.8,2043,101,0.45,778,11-11-2023,Columbus
Vitamin D,Vitamins and supplements,61.42,2,2936,45,0.07,591,08-07-2023,San Diego
Fish Oil,Vitamins and supplements,113.07,2.4,935,927,0.47,1888,06-10-2024,Charleston
Multivitamin,Vitamins and supplements,53.05,2.4,917,102,0.07,870,3-14-2024,Milwaukee
Fish Oil,Vitamins and supplements,349.67,4.3,105,886,0.34,1895,7-31-2023,San Francisco
Vitamin D,Vitamins and supplements,449.15,3.4,3144,358,0.31,552,11-21-2023,Detroit
Protein Powder,Vitamins and supplements,474.2,3.5,1107,317,0.31,382,06-05-2024,Wichita
Vitamin D,Vitamins and supplements,448.46,3.2,3385,21,0.23,514,02-06-2024,New Haven
Multivitamin,Vitamins and supplements,90.36,2.8,2134,523,0.08,1324,10-13-2023,McAllen
Fish Oil,Vitamins and supplements,171.22,2.9,4780,903,0.44,308,12-12-2023,Sacramento
Protein Powder,Vitamins and supplements,254.12,3.2,661,548,0.5,872,4-14-2024,Charleston
Vitamin D,Vitamins and supplements,49.95,2.6,4540,92,0.21,1230,6-25-2023,Spokane
Vitamin D,Vitamins and supplements,236.69,4.5,158,953,0.37,403,8-24-2023,Akron
Protein Powder,Vitamins and supplements,370.32,4.1,955,151,0.27,946,03-08-2024,Atlanta
Multivitamin,Vitamins and supplements,224.92,3.9,3811,577,0.3,931,9-24-2023,Queens
Vitamin D,Vitamins and supplements,145.65,3.4,1269,636,0.11,1260,5-25-2024,Denver
Protein Powder,Vitamins and supplements,419.64,1.9,4889,519,0.2,477,3-17-2024,Baltimore
Fish Oil,Vitamins and supplements,126.4,4.9,374,292,0.43,1004,05-02-2024,Columbus
Fish Oil,Vitamins and supplements,57.72,2.6,13,503,0.29,1107,02-03-2024,New York
Vitamin D,Vitamins and supplements,90.13,2.6,2040,27,0.13,1252,9-25-2023,Jacksonville
Vitamin D,Vitamins and supplements,298.32,3.4,4396,918,0.23,1418,06-02-2024,Birmingham
Vitamin D,Vitamins and supplements,226.59,2.3,2891,861,0.07,132,09-10-2023,McAllen
Protein Powder,Vitamins and supplements,312.4,3.8,575,885,0.08,1144,2-26-2024,St. Louis
Multivitamin,Vitamins and supplements,184.8,3.1,2352,496,0.35,1847,01-08-2024,Staten Island
Vitamin D,Vitamins and supplements,435.45,1.8,956,915,0.13,1665,8-24-2023,Hartford
Protein Powder,Vitamins and supplements,35.33,3.6,1058,197,0.09,1082,7-23-2023,Spokane
Multivitamin,Vitamins and supplements,258.55,1.2,4585,275,0.49,1239,10-05-2023,Dayton
Vitamin D,Vitamins and supplements,18.52,2.3,3868,184,0.29,1207,12-17-2023,Orlando
Vitamin D,Vitamins and supplements,336.76,1.6,4403,335,0.47,891,06-04-2024,McAllen
Fish Oil,Vitamins and supplements,102.29,3.9,4612,494,0.09,1825,12-02-2023,Hartford
Vitamin D,Vitamins and supplements,489.53,2.5,3485,113,0.12,1561,1-28-2024,Columbia
Vitamin D,Vitamins and supplements,289.6,1.1,1863,344,0.34,800,06-11-2024,Grand Rapids
Sunscreen,Skin care,471.03,4.3,1327,68,0.29,1981,11-05-2023,Palm Bay
Cleanser,Skin care,499.71,1.2,3232,680,0.5,780,3-31-2024,Chicago
Moisturizer,Skin care,287.84,4,1347,609,0.2,493,02-01-2024,McAllen
Cleanser,Skin care,224.7,4.6,1000,278,0.22,1354,02-04-2024,Palm Bay
Toner,Skin care,155.47,3.6,2772,654,0.32,710,1-21-2024,Portland
Moisturizer,Skin care,196.41,3.2,1440,304,0.27,290,03-02-2024,Cleveland
Cleanser,Skin care,297.66,1.7,2889,961,0.23,1026,3-19-2024,New York
Cleanser,Skin care,476.22,4.4,1947,628,0.41,664,5-31-2024,Bronx
Moisturizer,Skin care,205.42,3.3,3371,739,0.3,943,07-05-2023,Provo
Cleanser,Skin care,375.97,3.9,1004,20,0.1,1014,07-12-2023,Colorado Springs
Sunscreen,Skin care,44.93,4.8,714,50,0.03,788,1-23-2024,Omaha
Cleanser,Skin care,105.33,1.7,963,372,0.14,1562,01-07-2024,Miami
Sunscreen,Skin care,270.81,3.3,105,419,0.36,1,3-27-2024,Sacramento
Toner,Skin care,413.36,3.1,1286,350,0.43,1062,01-05-2024,Cleveland
Sunscreen,Skin care,154.69,4.2,444,297,0.46,1107,9-23-2023,San Juan
Cleanser,Skin care,279.61,1.2,2938,140,0.3,1141,09-09-2023,Orlando
Cleanser,Skin care,300.83,4.2,9,983,0.21,1660,12-25-2023,Denton
Toner,Skin care,387.27,3.2,4954,292,0.15,663,5-24-2024,Spokane
Toner,Skin care,217.63,3.7,145,914,0.31,992,10-14-2023,Mesa
Moisturizer,Skin care,92.33,3.9,1249,672,0.11,661,8-24-2023,Oklahoma City
Sunscreen,Skin care,122.82,1.8,1546,649,0.13,1100,10-02-2023,Portland
Moisturizer,Skin care,494.01,1.5,3729,834,0.22,636,12-28-2023,Minneapolis
Moisturizer,Skin care,349.29,5,4795,301,0.05,1241,03-02-2024,Austin
Cleanser,Skin care,453.71,4.1,4131,743,0.32,1699,3-31-2024,Phoenix
Toner,Skin care,189.81,2.4,3046,707,0.22,827,02-03-2024,Bakersfield
Toner,Skin care,402.17,1.9,2823,229,0.3,66,8-17-2023,Riverside
Moisturizer,Skin care,233.86,1.8,2774,171,0.33,1232,8-26-2023,Reno
Cleanser,Skin care,228.71,2.3,661,811,0.04,452,7-15-2023,Omaha
Moisturizer,Skin care,348.1,1.8,207,617,0.05,632,4-18-2024,Orlando
Toner,Skin care,10.61,2.2,3719,979,0.24,1565,10-19-2023,Albany
Sunscreen,Skin care,205.66,1.6,1540,979,0.46,363,7-27-2023,Sacramento
Moisturizer,Skin care,339.06,1.4,4551,742,0.43,1012,9-14-2023,Cleveland
Toner,Skin care,393.19,3.8,3725,803,0.15,113,10-19-2023,Tampa
Cleanser,Skin care,196.65,2.4,2496,842,0.41,1725,01-10-2024,Raleigh
Toner,Skin care,437.93,1.6,405,938,0.29,1339,03-03-2024,Mesa
Toner,Skin care,112.17,4.7,4137,677,0.41,1826,01-06-2024,Dallas
Toner,Skin care,270.92,3.9,3138,847,0.11,1549,3-31-2024,Miami
Sunscreen,Skin care,207.46,1.7,4225,930,0.17,1811,9-30-2023,Richmond
Cleanser,Skin care,413.02,1.5,4259,94,0.24,1133,07-12-2023,Milwaukee
Cleanser,Skin care,416.37,2.3,2530,936,0.41,1676,2-16-2024,Sacramento
Mascara,Makeup,43.4,1.1,536,78,0.48,1979,5-31-2024,Akron
Blush,Makeup,69.8,3.4,542,845,0.44,988,08-01-2023,Columbus
Lipstick,Makeup,324,1.9,4349,129,0.33,466,8-30-2023,Palm Bay
Lipstick,Makeup,286.58,1.8,4737,381,0.5,1276,4-17-2024,Albany
Lipstick,Makeup,492,2,4244,328,0.39,1517,9-23-2023,Akron
Blush,Makeup,348.89,3.5,1638,551,0.41,1382,08-09-2023,Atlanta
Foundation,Makeup,315.71,3.1,3302,689,0.07,1651,12-04-2023,Oklahoma City
Mascara,Makeup,330.5,2.4,2139,981,0.41,1764,3-18-2024,Detroit
Foundation,Makeup,15.41,2.7,2293,741,0.13,649,08-03-2023,New York
Blush,Makeup,272.3,1.9,2009,241,0.31,1716,07-10-2023,Madison
Foundation,Makeup,480.19,3,3042,496,0.27,702,08-09-2023,Providence
Blush,Makeup,58.06,3,545,563,0.12,593,10-24-2023,Jacksonville
Lipstick,Makeup,194.19,2.6,3493,553,0.39,396,2-20-2024,Columbia
Foundation,Makeup,60.05,3.6,424,128,0.4,1583,5-14-2024,Milwaukee
Foundation,Makeup,422.03,1.2,2279,788,0.41,758,8-27-2023,Richmond
Blush,Makeup,448.61,3.5,78,912,0.03,855,12-22-2023,Des Moines
Lipstick,Makeup,61.79,5,2148,7,0.02,1528,3-17-2024,Queens
Lipstick,Makeup,332.93,4.2,2711,16,0.48,276,10-24-2023,Birmingham
Mascara,Makeup,236.35,5,4531,398,0.47,498,5-15-2024,Austin
Lipstick,Makeup,95.31,1.4,2037,351,0.03,137,05-05-2024,Bakersfield
Lipstick,Makeup,50.26,4.9,1246,647,0.38,920,7-19-2023,Mesa
Mascara,Makeup,337,1,1827,381,0.13,1640,12-26-2023,McAllen
Foundation,Makeup,269.85,1.2,369,777,0.4,651,07-01-2023,Palm Bay
Blush,Makeup,65.84,2.9,3983,287,0.31,1249,06-01-2024,Cleveland
Mascara,Makeup,175.75,4.7,2230,968,0.19,1850,7-14-2023,Raleigh
Blush,Makeup,200.44,1.7,4083,413,0.46,1195,8-29-2023,San Diego
Lipstick,Makeup,444.59,3.6,4066,121,0.41,1654,05-04-2024,Mission Viejo
Foundation,Makeup,136.63,3.2,2196,396,0.11,1661,8-15-2023,Detroit
Blush,Makeup,283.33,1.7,1759,202,0.16,661,10-21-2023,Providence
Foundation,Makeup,469.32,1.2,3537,769,0.07,462,09-03-2023,Madison
Mascara,Makeup,114.62,3,4183,43,0.37,1706,12-06-2023,Hartford
Foundation,Makeup,259.1,2.2,2066,22,0.34,1830,2-25-2024,Tucson
Lipstick,Makeup,439.8,2.7,361,185,0,128,6-14-2023,Mesa
Foundation,Makeup,441.91,2.1,1855,873,0.33,472,06-02-2024,Manhattan
Foundation,Makeup,369.2,3.5,922,65,0.18,1036,3-18-2024,San Francisco
Mascara,Makeup,382.89,1.1,2256,973,0.1,1441,5-23-2024,Phoenix
Lipstick,Makeup,380.57,4.4,3895,210,0.5,131,2-22-2024,Hartford
Foundation,Makeup,325.25,4.1,1013,226,0.07,1765,08-07-2023,Mesa
Blush,Makeup,97.4,1.1,4283,56,0.19,272,2-14-2024,Salt Lake City
Lipstick,Makeup,245.68,3.6,4431,697,0.28,899,10-02-2023,Hartford
Denim Jacket,Coats and jackets,341.47,4.2,3259,59,0.16,1342,11-14-2023,Palm Bay
